"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","banking.gui","src/banking/gui/Main.java","3","23","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"2","banking.gui","src/banking/gui/Main.java","3","23","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"3","banking.gui","src/banking/gui/Main.java","2","26","System.out.print is used","Java Logging Rules","SystemPrintln"
"4","banking.gui","src/banking/gui/Main.java","3","27","System.exit() should not be used in J2EE/JEE apps","J2EE Rules","DoNotCallSystemExit"
"5","banking.gui","src/banking/gui/Main.java","3","30","Local variable 'propertyFile' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"6","banking.gui","src/banking/gui/Main.java","3","31","Local variable 'frame' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"7","banking.gui","src/banking/gui/MainFrame.java","3","16","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"8","banking.gui","src/banking/gui/MainFrame.java","3","17","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"9","banking.gui","src/banking/gui/MainFrame.java","3","18","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"10","banking.gui","src/banking/gui/MainFrame.java","3","19","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"11","banking.gui","src/banking/gui/MainFrame.java","3","20","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"12","banking.gui","src/banking/gui/MainFrame.java","3","27","Avoid excessively long variable names like displayAccountsButton","Naming Rules","LongVariable"
"13","banking.gui","src/banking/gui/MainFrame.java","3","28","Avoid excessively long variable names like displayODAccountsButton","Naming Rules","LongVariable"
"14","banking.gui","src/banking/gui/MainFrame.java","3","30","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"15","banking.gui","src/banking/gui/MainFrame.java","3","30","Parameter 'propertyFile' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"16","banking.gui","src/banking/gui/MainFrame.java","3","43","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"17","banking.gui","src/banking/gui/MainFrame.java","3","56","Local variable 'accountTypes' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"18","banking.gui","src/banking/gui/MainFrame.java","3","62","Local variable 'depositButton' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"19","banking.gui","src/banking/gui/MainFrame.java","3","63","Local variable 'withdrawButton' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"20","banking.gui","src/banking/gui/MainFrame.java","3","64","Local variable 'saveButton' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"21","banking.gui","src/banking/gui/MainFrame.java","3","66","Avoid excessively long variable names like displayAllAccountsButton","Naming Rules","LongVariable"
"22","banking.gui","src/banking/gui/MainFrame.java","3","66","Local variable 'displayAllAccountsButton' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"23","banking.gui","src/banking/gui/MainFrame.java","3","111","Avoid variables with short names like e","Naming Rules","ShortVariable"
"24","banking.gui","src/banking/gui/MainFrame.java","3","111","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"25","banking.gui","src/banking/gui/MainFrame.java","5","112","Found 'DD'-anomaly for variable 'accounts' (lines '112'-'114').","Controversial Rules","DataflowAnomalyAnalysis"
"26","banking.gui","src/banking/gui/MainFrame.java","5","112","Found 'DD'-anomaly for variable 'accounts' (lines '112'-'116').","Controversial Rules","DataflowAnomalyAnalysis"
"27","banking.gui","src/banking/gui/MainFrame.java","3","118","Avoid variables with short names like sb","Naming Rules","ShortVariable"
"28","banking.gui","src/banking/gui/MainFrame.java","5","119","Found 'DD'-anomaly for variable 'thisAcct' (lines '119'-'121').","Controversial Rules","DataflowAnomalyAnalysis"
"29","banking.gui","src/banking/gui/MainFrame.java","5","119","Found 'DU'-anomaly for variable 'thisAcct' (lines '119'-'126').","Controversial Rules","DataflowAnomalyAnalysis"
"30","banking.gui","src/banking/gui/MainFrame.java","3","122","Avoid concatenating nonliterals in a StringBuffer constructor or append().","String and StringBuffer Rules","InefficientStringBuffering"
"31","banking.gui","src/banking/gui/MainFrame.java","3","131","Avoid variables with short names like e","Naming Rules","ShortVariable"
"32","banking.gui","src/banking/gui/MainFrame.java","3","131","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"33","banking.gui","src/banking/gui/MainFrame.java","3","146","Avoid variables with short names like e","Naming Rules","ShortVariable"
"34","banking.gui","src/banking/gui/MainFrame.java","3","146","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"35","banking.gui","src/banking/gui/MainFrame.java","3","158","Avoid variables with short names like e","Naming Rules","ShortVariable"
"36","banking.gui","src/banking/gui/MainFrame.java","3","158","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"37","banking.gui","src/banking/gui/MainFrame.java","3","189","System.exit() should not be used in J2EE/JEE apps","J2EE Rules","DoNotCallSystemExit"
